PropertyCategory,PropertyType,count
Aircraft,Passenger plane ,1130
Aircraft,Other aircraft,37
Aircraft,Light aircraft ,29
Aircraft,Helicopter ,19
Aircraft,Freight plane ,11
Aircraft,Military helicopter ,2
Aircraft,Military plane ,1
Boat,Barge ,408
Boat,Other vessel ,284
Boat,Motor yacht ,129
Boat,Large passenger vessel ,85
Boat,Fishing boat ,15
Boat,Other merchant vessel ,11
Boat,Naval vessel ,8
Boat,Boat - Tanker,7
Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,220751
Dwelling,House - single occupancy ,197872
Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,168412
Dwelling,Self contained Sheltered Housing ,86905
Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,64344
Dwelling,Converted Flat/Maisonettes - 3 or more storeys,58515
Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,50080
Dwelling,Licensed House in Multiple Occupation - Up to 2 storeys ,5191
Dwelling,Licensed House in Multiple Occupation - 3 or more storeys ,4125
Dwelling,Bungalow - single occupancy ,3662
Dwelling,False Alarm - Property not found,2801
Dwelling,House in Multiple Occupation - Up to 2 storeys (not known if licensed) ,1746
Dwelling,House in Multiple Occupation - 3 or more storeys (not known if licensed),1343
Dwelling,Other Dwelling ,1215
Dwelling,Unlicensed House in Multiple Occupation - Up to 2 storeys ,1020
Dwelling,Unlicensed House in Multiple Occupation - 3 or more storeys ,641
Dwelling,Tenement Building ,392
Dwelling,Caravan/Mobile home (permanent dwelling),225
Dwelling,Houseboat (permanent dwelling) ,194
Dwelling,Stately Home (part not open to public),147
Dwelling,Royal Palace (part not open to public),72
Dwelling,Castle (part not open to public),3
Non Residential,Purpose built office ,61170
Non Residential,Single shop ,41075
Non Residential,Hospital ,33745
Non Residential,Infant/Primary school,21522
Non Residential,Restaurant/cafe,14403
Non Residential,Secondary school,14393
Non Residential,College/University ,12756
Non Residential,Large supermarket ,12319
Non Residential,Warehouse ,11488
Non Residential,Converted office ,9565
Non Residential,Pub/wine bar/bar ,9459
Non Residential,Medical/health centre,6254
Non Residential,Shopping Centre ,5718
Non Residential,Leisure Centre ,5175
Non Residential,Gym ,4595
Non Residential,Pre School/nursery ,4552
Non Residential,Takeaway/ fast food ,4192
Non Residential,Fire station ,4104
Non Residential,Community centre/Hall ,3968
Non Residential,Airport - terminal ,3923
Non Residential,Other medical establishment (including surgery) ,3882
Non Residential,Private Garden Shed ,3480
Non Residential,Factory ,3385
Non Residential,Church/Chapel ,3294
Non Residential,Department Store ,3134
Non Residential,Library ,3099
Non Residential,Private garage ,2999
Non Residential,Police station ,2875
Non Residential,Other education establishment,2645
Non Residential,Club/night club ,2613
Non Residential,Train station - platform (below ground) ,2605
Non Residential,Bank/Building Society ,2602
Non Residential,Other building/use not known ,2325
Non Residential,Theatre ,2285
Non Residential,Food and drink processing,2219
Non Residential,Cinema ,2208
Non Residential,Other retail warehouse ,2150
Non Residential,DIY Warehouse ,2114
Non Residential,Other retail  ,2013
Non Residential,Sports/Social club ,1991
Non Residential,Petrol station ,1964
Non Residential,Multi-Storey car park,1848
Non Residential,Museum ,1848
Non Residential,Local Government Office,1703
Non Residential,TV/film/music/art studio ,1703
Non Residential,Doctors surgery,1659
Non Residential,Prison ,1659
Non Residential,Vehicle Repair Workshop,1642
Non Residential,Train station - platform (at ground level or elevated) ,1580
Non Residential,Other bulk storage,1518
Non Residential,Underground car park,1471
Non Residential,Telephone exchange,1389
Non Residential,Art Gallery ,1281
Non Residential,Train station - elsewhere ,1280
Non Residential,Central Government Office,1250
Non Residential,Sports pavilion/shower block/changing facility ,1241
Non Residential,Other private non-residential building ,1223
Non Residential,Town Hall ,1207
Non Residential,Bus/coach station/garage ,1189
Non Residential,Train station - concourse ,1187
Non Residential,Other entertainment venue ,1172
Non Residential,Other office/call centre type building,1165
Non Residential,Airport building (not terminal or hangar) ,1163
Non Residential,Law Courts ,1048
Non Residential,Recycling plant,988
Non Residential,Football stadium ,982
Non Residential,Other industrial manufacturing facility,966
Non Residential,Day care/Drop in centre,932
Non Residential,Call Centre ,928
Non Residential,Hairdresser ,921
Non Residential,Other public building ,908
Non Residential,Engineering manufacturing plant,858
Non Residential,Laboratory/research Establishment ,836
Non Residential,Other industrial processing plant,805
Non Residential,Other car park structure,794
Non Residential,Laundrette ,782
Non Residential,Other public utility works,718
Non Residential,Dental surgery,713
Non Residential,Furniture warehouse ,712
Non Residential,Health Centre ,704
Non Residential,Sports Hall ,662
Non Residential,Printing works,660
Non Residential,Electrical warehouse ,630
Non Residential,Public toilets ,625
Non Residential,Swimming Pool ,611
Non Residential,Electricity power station ,599
Non Residential,Exhibition Centre ,599
Non Residential,Other cultural venue ,558
