Station name;Closed;Easting;Northing;Latitude;Longitude;BoroughName;BoroughCode;inner london;localisation;nb_casernes;superficie;ratio
Acton;0;519679;180078;51.50696955;-0.276956941;EALING;E09000009;0;NW;4;55.5;13.88
Addington;0;537692;163268;51.35181369;-0.024094136;CROYDON;E09000008;0;SE;5;86.5;17.3
Barking;0;544997;183281;51.52982712;0.088924807;BARKING AND DAGENHAM;E09000002;0;NE;2;36.1;18.05
Barnet;0;525607;195840;51.64733504;-0.185954768;BARNET;E09000003;0;NW;4;86.7;21.68
Battersea;0;527261;175825;51.46709339;-0.169298881;WANDSWORTH;E09000032;1;SW;3;34.3;11.43
Beckenham;0;536808;169500;51.40803001;-0.034382729;BROMLEY;E09000006;0;SE;4;150.1;37.53
Bethnal Green;0;535132;182783;51.52779696;-0.053391216;TOWER HAMLETS;E09000030;1;NE;5;19.8;3.96
Bexley;0;549705;175770;51.46111248;0.153562248;BEXLEY;E09000004;0;SE;3;60.6;20.2
Biggin Hill;0;541862;159133;51.31363157;0.03410288;BROMLEY;E09000006;0;SE;4;150.1;37.53
Brixton;0;531422;175558;51.46374386;-0.109529397;LAMBETH;E09000022;1;SW;5;26.8;5.36
Bromley;0;540392;169485;51.40702009;0.017107716;BROMLEY;E09000006;0;SE;4;150.1;37.53
Chelsea;0;527144;178055;51.48716048;-0.17018048;KENSINGTON AND CHELSEA;E09000020;1;SW;3;12.1;4.03
Chingford;0;538194;194198;51.62963064;-0.004791544;WALTHAM FOREST;E09000031;0;NE;4;38.8;9.7
Chiswick;0;520280;178266;51.49055698;-0.268918588;HOUNSLOW;E09000018;0;NW;3;56;18.67
Clapham;0;529234;175632;51.46491224;-0.140981354;LAMBETH;E09000022;1;SW;5;26.8;5.36
Croydon;0;532006;165012;51.36883474;-0.105050864;CROYDON;E09000008;0;SE;5;86.5;17.3
Dagenham;0;549610;186704;51.55938051;0.156831316;BARKING AND DAGENHAM;E09000002;0;NE;2;36.1;18.05
Deptford;0;536612;178048;51.48489175;-0.033902176;LEWISHAM;E09000023;1;SE;4;35.1;8.78
Dockhead;0;534001;179740;51.5007208;-0.070840916;SOUTHWARK;E09000028;1;SE;3;28.9;9.63
Dowgate;0;532630;180736;51.50999438;-0.090206836;CITY OF LONDON;E09000001;1;NE;1;2.9;2.9
Ealing;0;517100;180585;51.512066;-0.313931637;EALING;E09000009;0;NW;4;55.5;13.88
East Greenwich;0;540498;178387;51.48698681;0.02216191;GREENWICH;E09000011;0;SE;5;47.3;9.46
East Ham;0;542799;182496;51.52333306;0.056942003;NEWHAM;E09000025;1;NE;3;36.2;12.07
Edmonton;0;533753;193814;51.62725225;-0.069061061;ENFIELD;E09000010;0;NW;3;82.2;27.4
Eltham;0;543204;174418;51.45064443;0.059502096;GREENWICH;E09000011;0;SE;5;47.3;9.46
Enfield;0;534836;197513;51.66023339;-0.052000395;ENFIELD;E09000010;0;NW;3;82.2;27.4
Erith;0;549828;178494;51.48555547;0.15648552;BEXLEY;E09000004;0;SE;3;60.6;20.2
Euston;0;529774;182632;51.52769561;-0.130640174;CAMDEN;E09000007;1;NW;3;21.8;7.27
Feltham;0;510290;174708;51.46061232;-0.413858796;HOUNSLOW;E09000018;0;NW;3;56;18.67
Finchley;0;526201;190362;51.59797287;-0.179345748;BARNET;E09000003;0;NW;4;86.7;21.68
Forest Hill;0;535961;173319;51.44255238;-0.04508902;LEWISHAM;E09000023;1;SE;4;35.1;8.78
Fulham;0;525033;176974;51.47791571;-0.200950592;HAMMERSMITH AND FULHAM;E09000013;1;SW;2;16.4;8.2
Greenwich;0;538051;176878;51.47402892;-0.013647859;GREENWICH;E09000011;0;SE;5;47.3;9.46
Hainault;0;545820;191811;51.60625998;0.104317288;REDBRIDGE;E09000026;0;NE;3;56.4;18.8
Hammersmith;0;523370;178974;51.4962548;-0.224186701;HAMMERSMITH AND FULHAM;E09000013;1;SW;2;16.4;8.2
Harold Hill;0;554101;191178;51.59836949;0.22352681;HAVERING;E09000016;0;NE;4;112.3;28.08
Harrow;0;513275;189257;51.59078663;-0.366237252;HARROW;E09000015;0;NW;2;50.5;25.25
Hayes;0;508969;178444;51.49444755;-0.431714553;HILLINGDON;E09000017;0;NW;4;115.7;28.93
Heathrow;0;507113;176816;51.48016902;-0.458932769;HILLINGDON;E09000017;0;NW;4;115.7;28.93
Hendon;0;522811;189269;51.58889866;-0.22864613;BARNET;E09000003;0;NW;4;86.7;21.68
Heston;0;515160;176417;51.47500357;-0.343233814;HOUNSLOW;E09000018;0;NW;3;56;18.67
Hillingdon;0;507462;182601;51.53209948;-0.452148191;HILLINGDON;E09000017;0;NW;4;115.7;28.93
Holloway;0;530689;186423;51.56155274;-0.116051023;ISLINGTON;E09000019;1;NE;2;14.9;7.45
Homerton;0;535728;185107;51.54853799;-0.043909675;HACKNEY;E09000012;1;NE;3;19.1;6.37
Hornchurch;0;554002;187413;51.56456961;0.220448767;HAVERING;E09000016;0;NE;4;112.3;28.08
Hornsey;0;529838;189178;51.58650703;-0.127303328;HARINGEY;E09000014;1;NW;2;29.6;14.8
Ilford;0;544975;186886;51.56222516;0.09009192;REDBRIDGE;E09000026;0;NE;3;56.4;18.8
Islington;0;531701;184079;51.54025332;-0.102337101;ISLINGTON;E09000019;1;NE;2;14.9;7.45
Kensington;0;525716;179770;51.50289211;-0.190126011;KENSINGTON AND CHELSEA;E09000020;1;SW;3;12.1;4.03
Kentish Town;0;528935;185398;51.55274475;-0.141715614;CAMDEN;E09000007;1;NW;3;21.8;7.27
Kingston;0;517821;171403;51.42939237;-0.306604812;KINGSTON UPON THAMES;E09000021;0;SW;3;37.2;12.4
Lambeth;0;530519;178762;51.49274589;-0.121338084;LAMBETH;E09000022;1;SW;5;26.8;5.36
Lee Green;0;539929;174972;51.45644073;0.012621138;GREENWICH;E09000011;0;SE;5;47.3;9.46
Lewisham;0;538127;174995;51.45708955;-0.013289381;LEWISHAM;E09000023;1;SE;4;35.1;8.78
Leyton;0;537566;186780;51.56312686;-0.016764935;WALTHAM FOREST;E09000031;0;NE;4;38.8;9.7
Leytonstone;0;539332;186557;51.56068989;0.008607648;WALTHAM FOREST;E09000031;0;NE;4;38.8;9.7
Mill Hill;0;521725;192147;51.6149989;-0.243316455;BARNET;E09000003;0;NW;4;86.7;21.68
Millwall;0;537132;179827;51.50075235;-0.025727306;TOWER HAMLETS;E09000030;1;NE;5;19.8;3.96
Mitcham;0;527209;168066;51.39737505;-0.172831231;MERTON;E09000024;0;SW;2;37.6;18.8
New Cross;0;535575;176768;51.47363863;-0.049318586;LEWISHAM;E09000023;1;SE;4;35.1;8.78
New Malden;0;522157;168132;51.39907748;-0.245390834;KINGSTON UPON THAMES;E09000021;0;SW;3;37.2;12.4
Norbury;0;530758;169202;51.40677791;-0.12142714;CROYDON;E09000008;0;SE;5;86.5;17.3
North Kensington;0;524129;181840;51.52184577;-0.2122507;KENSINGTON AND CHELSEA;E09000020;1;SW;3;12.1;4.03
Northolt;0;513830;185249;51.55465234;-0.359526477;EALING;E09000009;0;NW;4;55.5;13.88
Old Kent Road;0;533845;178213;51.48703552;-0.073665623;SOUTHWARK;E09000028;1;SE;3;28.9;9.63
Orpington;0;547013;165800;51.37223228;0.110709274;BROMLEY;E09000006;0;SE;4;150.1;37.53
Paddington;0;526152;181698;51.52012184;-0.183158475;WESTMINSTER;E09000033;1;SW;2;21.5;10.75
Park Royal;0;520444;183306;51.53581821;-0.264837288;BRENT;E09000005;0;NW;3;43.3;14.43
Peckham;0;533583;176745;51.47390533;-0.077991548;SOUTHWARK;E09000028;1;SE;3;28.9;9.63
Plaistow;0;541084;182189;51.52100507;0.032115638;NEWHAM;E09000025;1;NE;3;36.2;12.07
Plumstead;0;545308;178571;51.48742577;0.091465861;GREENWICH;E09000011;0;SE;5;47.3;9.46
Poplar;0;537874;180976;51.51089699;-0.014595392;TOWER HAMLETS;E09000030;1;NE;5;19.8;3.96
Purley;0;530719;160856;51.33178273;-0.125053876;CROYDON;E09000008;0;SE;5;86.5;17.3
Richmond;0;519233;175671;51.46745605;-0.284867021;RICHMOND UPON THAMES;E09000027;0;SW;2;57.4;28.7
River Stn - Lambeth;0;530456;178798;51.49308394;-0.122231746;LAMBETH;E09000022;1;SW;5;26.8;5.36
Romford;0;551180;190566;51.59366168;0.181122908;HAVERING;E09000016;0;NE;4;112.3;28.08
Ruislip;0;508404;188886;51.58840934;-0.436637238;HILLINGDON;E09000017;0;NW;4;115.7;28.93
Shadwell;0;535006;180901;51.51091494;-0.05592679;TOWER HAMLETS;E09000030;1;NE;5;19.8;3.96
Shoreditch;0;532912;182583;51.52652609;-0.085449752;HACKNEY;E09000012;1;NE;3;19.1;6.37
Sidcup;0;545708;171862;51.42703915;0.094461244;BEXLEY;E09000004;0;SE;3;60.6;20.2
Soho;0;529857;180943;51.51249811;-0.130066201;WESTMINSTER;E09000033;1;SW;2;21.5;10.75
Southall;0;512903;180403;51.51128361;-0.374443754;EALING;E09000009;0;NW;4;55.5;13.88
Southgate;0;529704;194072;51.63051777;-0.127427514;ENFIELD;E09000010;0;NW;3;82.2;27.4
Stanmore;0;517994;190797;51.60365964;-0.297631362;HARROW;E09000015;0;NW;2;50.5;25.25
Stoke Newington;0;533396;186590;51.5624203;-0.076959462;HACKNEY;E09000012;1;NE;3;19.1;6.37
Stratford;0;539560;184675;51.54372222;0.011148531;NEWHAM;E09000025;1;NE;3;36.2;12.07
Surbiton;0;518510;167285;51.39223779;-0.298073489;KINGSTON UPON THAMES;E09000021;0;SW;3;37.2;12.4
Sutton;0;524620;164847;51.36901915;-0.211155301;SUTTON;E09000029;0;SE;2;43.8;21.9
Tooting;0;527799;172578;51.43779177;-0.162729811;WANDSWORTH;E09000032;1;SW;3;34.3;11.43
Tottenham;0;533680;189940;51.59245706;-0.071590953;HARINGEY;E09000014;1;NW;2;29.6;14.8
Twickenham;0;514955;171980;51.4351664;-0.347624775;RICHMOND UPON THAMES;E09000027;0;SW;2;57.4;28.7
Wallington;0;529017;164215;51.36235842;-0.148254023;SUTTON;E09000029;0;SE;2;43.8;21.9
Walthamstow;0;536654;189715;51.58972236;-0.028772872;WALTHAM FOREST;E09000031;0;NE;4;38.8;9.7
Wandsworth;0;525054;174592;51.45650385;-0.201490293;WANDSWORTH;E09000032;1;SW;3;34.3;11.43
Wembley;0;517685;185011;51.55172315;-0.304027845;BRENT;E09000005;0;NW;3;43.3;14.43
Wennington;0;554197;180915;51.50613416;0.220416366;HAVERING;E09000016;0;NE;4;112.3;28.08
West Hampstead;0;525395;185192;51.5516906;-0.192820034;CAMDEN;E09000007;1;NW;3;21.8;7.27
West Norwood;0;531822.9;171359.1;51.30035019;-7.740785122;LAMBETH;E09000022;1;SW;5;26.8;5.36
Whitechapel;0;534054;181352;51.51519424;-0.069465571;TOWER HAMLETS;E09000030;1;NE;5;19.8;3.96
Willesden;0;522376;184302;51.54435431;-0.236649928;BRENT;E09000005;0;NW;3;43.3;14.43
Wimbledon;0;525437;170042;51.41552786;-0.19759097;MERTON;E09000024;0;SW;2;37.6;18.8
Woodford;0;540250;192000;51.60937187;0.024014355;REDBRIDGE;E09000026;0;NE;3;56.4;18.8
